project,precision_p_value,precision_cliff_delta,precision_effect_size,precision_clean,precision_noisy,precision_percent,recall_p_value,recall_cliff_delta,recall_effect_size,recall_clean,recall_noisy,recall_percent,f1_p_value,f1_cliff_delta,f1_effect_size,f1_clean,f1_noisy,f1_percent,AUC_p_value,AUC_cliff_delta,AUC_effect_size,AUC_clean,AUC_noisy,AUC_percent,MCC_p_value,MCC_cliff_delta,MCC_effect_size,MCC_clean,MCC_noisy,MCC_percent,G-Mean_p_value,G-Mean_cliff_delta,G-Mean_effect_size,G-Mean_clean,G-Mean_noisy,G-Mean_percent
httpclient,4.114952697549965e-08,0.961875,large,0.56,0.46,1.2,5.208560511666703e-08,-0.995,large,0.55,0.79,0.69,4.702837904877427e-05,-0.615625,large,0.55,0.59,0.94,0.000775508082962266,0.490625,large,0.64,0.62,1.04,0.0011151015569838317,0.4675,medium,0.28,0.24,1.19,4.643381899964231e-06,0.698125,large,0.63,0.59,1.07
jackrabbit,3.37358095783858e-08,0.9975,large,0.67,0.59,1.13,3.782404224419906e-08,-0.954375,large,0.65,0.78,0.83,0.004619955656503389,-0.36125,medium,0.66,0.67,0.97,0.029363266821077403,0.27625,small,0.71,0.71,1.01,0.0023306099524122038,0.433125,medium,0.43,0.41,1.06,0.07200247274217768,0.29875,small,0.71,0.7,1.01
lucene,3.720151352122478e-08,0.98375,large,0.6,0.51,1.19,3.546733934213521e-08,-0.99875,large,0.47,0.65,0.71,2.30578552810068e-06,-0.684375,large,0.52,0.57,0.92,0.0001707485149120387,-0.498125,large,0.67,0.69,0.97,0.5478582268479604,0.08625,negligible,0.36,0.35,1.02,2.3252982200742988e-07,-0.840625,large,0.63,0.69,0.93
all,3.428021151434204e-08,0.998125,large,0.66,0.57,1.16,3.486935891658717e-08,-1.0,large,0.64,0.79,0.82,0.0010780940409740038,-0.421875,medium,0.65,0.66,0.98,0.46525002342689104,-0.1,negligible,0.73,0.73,1.0,0.00022561632239576258,0.46375,medium,0.47,0.45,1.04,0.04635603462161679,-0.293125,small,0.73,0.73,0.99
